Name,Last,Daily,Week_1,Month_1,YTD,Year_1,Years_3,DWLabel,MYTDLabel,MYYLabel
3M,106.22,0.84,1.67,1.06,-11.42,-26.35,-28.52,LpLi,LpLi,LpLi
Abbott Labs,110.47,0.89,-1.07,9.1,0.62,-2.67,22.95,LpLi,LpHi,LpLi
AbbVie,151.12,1.51,-6.95,-5.18,-6.49,2.89,82.42,LpLi,LpLi,LpLi
Accenture,280.29,1.76,1.43,-1.93,5.04,-6.68,55.64,HpHi,HpHi,HpHi
Activision Blizzard,77.71,0.13,-9.14,-9.21,1.52,2.79,20.07,LpLi,LpLi,LpLi
Adobe,377.56,1.65,-0.03,-2.03,12.19,-4.64,9.81,HpHi,HpHi,HpHi
ADP,220.0,1.78,2.23,-1.18,-7.9,0.83,56.67,LpHi,LpLi,LpLi
Advance Auto Parts,125.53,0.5,-2.09,3.22,-14.62,-37.12,7.67,LpLi,LpLi,LpLi
Aflac,69.85,0.55,5.87,8.26,-2.91,21.94,90.74,LpHi,LpHi,LpHi
Agilent Technologies,135.43,1.64,-2.22,-2.1,-9.5,13.55,82.5,LpLi,LpLi,LpHi
AIG,53.04,1.73,2.89,5.32,-16.13,-9.35,121.92,LpHi,LpLi,LpLi
Air Products,294.36,1.02,1.3,2.49,-4.51,25.76,32.45,HpHi,HpHi,HpHi
Akamai,81.97,0.31,1.27,4.69,-2.76,-27.0,-14.49,LpLi,LpLi,LpLi
Alaska Air,43.46,1.14,-2.14,3.57,1.21,-20.1,44.34,LpLi,LpLi,LpLi
Albemarle,185.46,-0.29,6.74,-16.1,-14.48,-3.82,222.88,LpHi,LpLi,LpHi
Alexandria RE,124.18,1.19,-0.21,-1.12,-14.75,-31.83,-17.76,LpLi,LpLi,LpLi
Align,325.3,2.38,-8.4,-2.65,54.24,12.21,60.04,HpHi,HpHi,HpHi
Allegion PLC,110.48,-0.86,7.27,3.51,4.96,-3.29,13.34,LpHi,LpHi,LpLi
Alliant Energy,55.14,0.07,-0.27,3.26,-0.13,-6.24,16.7,LpLi,LpLi,LpLi
Allstate,115.76,0.44,-0.02,4.47,-14.63,-8.52,16.06,LpLi,LpLi,LpLi
Alphabet A,107.34,-0.23,1.83,3.48,21.66,-5.93,62.96,LpLi,LpHi,LpLi
Alphabet C,108.22,-0.14,2.18,4.06,21.97,-5.87,63.9,LpLi,LpHi,LpLi
Altria,47.51,0.68,2.95,6.48,3.94,-14.5,25.32,LpHi,LpHi,LpLi
Amazon.com,105.45,-3.98,-1.41,2.09,25.54,-15.15,-7.74,LpLi,LpHi,LpLi
AMD,89.37,2.21,1.06,-8.82,37.98,4.5,79.17,LpHi,LpHi,LpLi
Ameren,88.97,-0.84,-1.1,2.99,0.06,-4.23,24.52,LpLi,LpLi,LpLi
American Airlines,13.64,5.9,1.79,-7.53,7.23,-27.33,28.2,LpHi,LpLi,LpLi
American Electric Power,92.42,-0.42,-1.6,1.57,-2.66,-6.75,13.55,LpLi,LpLi,LpLi
American Express,161.34,1.82,-1.49,-2.19,9.2,-7.65,82.68,LpLi,LpLi,LpLi
American Tower,204.39,-0.61,0.12,0.02,-3.53,-15.2,-12.73,LpLi,LpLi,LpLi
American Water Works,148.25,-0.14,-1.78,1.2,-2.74,-3.78,24.37,LpLi,LpLi,LpLi
Ameriprise Financial,305.12,0.9,-2.86,-0.45,-2.01,14.93,174.24,HpHi,HpHi,LpHi
AmerisourceBergen,166.85,-0.33,0.07,4.21,0.69,10.28,93.16,LpLi,LpHi,LpHi
Ametek,137.93,0.41,0.25,-5.09,-1.28,9.24,71.36,LpLi,LpLi,LpHi
Amgen,239.74,-0.25,-1.69,-0.83,-8.72,2.81,3.79,LpLi,LpLi,LpLi
Amphenol,75.47,0.91,-1.78,-7.65,-0.88,5.55,76.54,LpLi,LpLi,LpLi
Analog Devices,179.88,1.27,-3.47,-8.79,9.66,16.52,73.56,LpLi,LpLi,LpHi
ANSYS,313.92,-0.34,-2.98,-5.67,29.94,13.87,22.8,HpHi,HpHi,HpHi
AO Smith,68.29,-0.39,-0.71,-1.24,19.3,16.87,63.96,LpLi,LpHi,LpHi
Aon,325.18,-2.13,-2.52,3.14,8.34,12.91,82.47,HpHi,HpHi,HpHi
APA Corp,36.85,3.34,-1.02,2.19,-21.06,-9.97,226.68,LpHi,LpLi,LpHi
Apple,169.68,0.75,2.82,2.9,30.59,7.63,134.79,LpHi,LpHi,LpHi
Applied Materials,113.03,1.21,-0.38,-7.98,16.07,2.43,141.05,LpLi,LpLi,LpHi
Aptiv,102.86,1.19,-2.31,-8.32,10.45,-3.33,56.44,LpLi,LpLi,LpLi
Arch Capital,75.07,1.61,4.73,10.61,19.58,64.37,224.84,LpHi,LpHi,LpHi
Archer-Daniels-Midland,78.08,0.09,-3.01,-1.98,-15.91,-12.82,122.32,LpLi,LpLi,LpLi
Arista Networks,160.16,2.17,2.75,-4.59,31.98,38.58,208.53,LpHi,LpHi,LpHi
Arthur J Gallagher,208.06,-0.47,0.14,8.76,10.35,23.49,168.43,LpLi,LpHi,LpHi
Assurant,123.13,2.64,5.01,2.55,-1.54,-32.3,20.34,LpHi,LpLi,LpLi
AT&T,17.67,0.34,-3.02,-8.21,-4.02,-6.31,-21.71,LpLi,LpLi,LpLi
Atmos Energy,114.14,-0.7,-1.07,1.58,1.85,0.65,14.03,LpLi,LpLi,LpLi
Autodesk,194.79,2.46,0.36,-6.42,4.24,2.91,11.37,LpHi,LpLi,LpLi
AutoZone,158.69,0.1,-0.68,8.35,7.99,36.2,167.82,LpLi,LpHi,LpHi
AvalonBay,180.37,1.53,4.06,7.32,11.67,-20.71,13.84,LpHi,LpHi,LpLi
Avery Dennison,174.48,2.96,-2.03,-2.49,-3.6,-3.39,61.45,LpHi,LpLi,LpLi
Baker Hughes,29.24,1.39,-1.42,1.32,-0.98,-5.74,113.43,LpLi,LpLi,LpLi
Ball,53.18,0.89,2.09,-3.5,3.99,-34.48,-18.95,LpLi,LpLi,LpLi
Bank of America,29.28,1.35,-1.98,2.38,-11.59,-17.94,26.86,LpLi,LpLi,LpLi
Bank of NY Mellon,42.59,1.38,-3.31,-6.27,-6.44,1.26,18.31,LpLi,LpLi,LpLi
Bath & Body Works,35.1,0.95,-1.49,-4.05,-16.71,-33.64,261.92,LpLi,LpLi,LpHi
Baxter,47.68,1.88,5.28,17.55,-6.45,-32.9,-45.72,LpHi,LpHi,LpLi
Becton Dickinson,264.31,0.38,1.19,6.77,3.94,6.93,4.94,HpHi,LpHi,HpHi
Berkshire Hathaway B,328.55,0.71,1.3,6.41,6.36,1.77,79.86,HpHi,HpHi,HpHi
Best Buy,74.52,1.35,2.42,-4.79,-7.09,-17.14,3.13,LpHi,LpLi,LpLi
Bio-Rad Labs,450.79,3.29,-3.52,-5.89,7.21,-11.97,4.4,HpHi,HpHi,HpHi
Bio-Techne,79.88,2.81,-4.3,7.67,-3.62,-15.84,40.44,LpLi,LpHi,LpLi
Biogen,304.23,3.58,3.48,9.42,9.86,46.66,3.8,LpHi,LpHi,HpHi
BlackRock,671.2,1.29,-1.43,0.31,-5.28,7.45,38.63,HpHi,HpHi,HpHi
Boeing,206.78,0.36,0.79,-2.66,8.55,38.93,55.04,LpLi,LpLi,LpHi
Booking,193.55,1.78,-0.04,1.28,33.3,21.54,85.42,LpLi,LpHi,LpHi
BorgWarner,48.13,1.03,-1.74,-2.0,19.58,30.68,77.21,LpLi,LpHi,LpHi
Boston Properties,53.36,1.02,2.38,-1.4,-21.04,-54.63,-42.58,LpHi,LpLi,LpLi
Boston Scientific,52.12,0.17,1.98,4.18,12.64,23.77,44.82,LpLi,LpHi,LpHi
Bristol-Myers Squibb,66.77,-1.24,-5.28,-3.66,-7.2,-11.29,10.8,LpLi,LpLi,LpLi
Broadcom,626.5,1.31,-1.01,-2.34,12.05,13.01,141.24,HpHi,HpHi,HpHi
Broadridge,145.41,1.32,1.2,-0.79,8.41,0.89,28.61,LpLi,LpLi,LpLi
Brown Forman,65.09,-0.29,1.75,1.28,-0.9,-3.48,6.67,LpLi,LpLi,LpLi
Brown&Brown,64.39,0.55,4.87,12.14,13.02,3.89,83.66,LpHi,LpHi,LpLi
Bunge,93.6,0.98,-1.58,-2.01,-6.18,-17.26,147.03,LpLi,LpLi,LpLi
Cadence Design,209.45,0.76,-1.67,-0.3,30.38,38.85,176.17,LpLi,LpHi,LpHi
Caesars,45.29,4.33,2.81,-7.21,8.87,-31.67,140.39,LpHi,LpLi,LpLi
Camden Property,110.05,3.3,3.05,4.97,-1.64,-29.86,29.27,LpHi,LpHi,LpLi
Campbell Soup,54.3,-1.24,1.17,-1.24,-4.32,14.99,7.72,LpLi,LpLi,LpLi
Capital One Financial,97.3,1.36,0.74,1.19,4.67,-21.92,58.01,LpLi,LpLi,LpLi
Cardinal Health,82.1,0.02,2.52,8.74,6.8,41.43,73.13,LpLi,LpHi,LpHi
CarMax,70.03,-0.53,1.26,8.95,15.01,-18.36,-1.46,LpLi,LpHi,LpLi
